time_stamp,loc_id,phone_num,date,hour,week,holiday,week_num,data_mean_week_hour,data_max_week_hour,data_min_week_hour,data_median_week_hour
2017-04-01 00:00:00,1,172,2017-04-01,0,5,0,5,177.33333333333334,194,166,172.0
2017-04-01 01:00:00,1,192,2017-04-01,1,5,0,5,209.0,235,192,200.0
2017-04-01 02:00:00,1,190,2017-04-01,2,5,0,5,176.66666666666666,190,166,174.0
2017-04-01 03:00:00,1,177,2017-04-01,3,5,0,5,166.33333333333334,177,159,163.0
2017-04-01 04:00:00,1,216,2017-04-01,4,5,0,5,186.66666666666666,216,168,176.0
2017-04-01 05:00:00,1,271,2017-04-01,5,5,0,5,206.33333333333334,271,170,178.0
2017-04-01 06:00:00,1,274,2017-04-01,6,5,0,5,225.66666666666666,274,194,209.0
2017-04-01 07:00:00,1,236,2017-04-01,7,5,0,5,267.0,291,236,274.0
2017-04-01 08:00:00,1,537,2017-04-01,8,5,0,5,419.3333333333333,537,245,476.0
2017-04-01 09:00:00,1,384,2017-04-01,9,5,0,5,350.3333333333333,391,276,384.0
2017-04-01 10:00:00,1,354,2017-04-01,10,5,0,5,388.0,413,354,397.0
2017-04-01 11:00:00,1,455,2017-04-01,11,5,0,5,496.3333333333333,587,447,455.0
2017-04-01 12:00:00,1,635,2017-04-01,12,5,0,5,586.6666666666666,635,541,584.0
2017-04-01 13:00:00,1,517,2017-04-01,13,5,0,5,493.6666666666667,517,463,501.0
2017-04-01 14:00:00,1,349,2017-04-01,14,5,0,5,376.6666666666667,412,349,369.0
2017-04-01 15:00:00,1,277,2017-04-01,15,5,0,5,304.0,370,265,277.0
2017-04-01 16:00:00,1,233,2017-04-01,16,5,0,5,297.3333333333333,423,233,236.0
2017-04-01 17:00:00,1,399,2017-04-01,17,5,0,5,445.6666666666667,540,398,399.0
2017-04-01 18:00:00,1,423,2017-04-01,18,5,0,5,461.0,525,423,435.0
2017-04-01 19:00:00,1,296,2017-04-01,19,5,0,5,394.3333333333333,541,296,346.0
2017-04-01 20:00:00,1,312,2017-04-01,20,5,0,5,291.0,321,240,312.0
2017-04-01 21:00:00,1,320,2017-04-01,21,5,0,5,289.0,320,248,299.0
2017-04-01 22:00:00,1,310,2017-04-01,22,5,0,5,315.3333333333333,397,239,310.0
2017-04-01 23:00:00,1,224,2017-04-01,23,5,0,5,200.33333333333334,224,172,205.0
2017-04-01 00:00:00,2,284,2017-04-01,0,5,0,5,387.0,545,284,332.0
2017-04-01 01:00:00,2,320,2017-04-01,1,5,0,5,568.6666666666666,900,320,486.0
2017-04-01 02:00:00,2,409,2017-04-01,2,5,0,5,640.3333333333334,1025,409,487.0
2017-04-01 03:00:00,2,768,2017-04-01,3,5,0,5,1047.3333333333333,1763,611,768.0
2017-04-01 04:00:00,2,816,2017-04-01,4,5,0,5,1040.3333333333333,1797,508,816.0
2017-04-01 05:00:00,2,1189,2017-04-01,5,5,0,5,1288.6666666666667,2006,671,1189.0
2017-04-01 06:00:00,2,667,2017-04-01,6,5,0,5,835.3333333333334,1289,550,667.0
2017-04-01 07:00:00,2,240,2017-04-01,7,5,0,5,282.3333333333333,358,240,249.0
2017-04-01 08:00:00,2,364,2017-04-01,8,5,0,5,331.0,392,237,364.0
2017-04-01 09:00:00,2,437,2017-04-01,9,5,0,5,373.0,437,318,364.0
2017-04-01 10:00:00,2,291,2017-04-01,10,5,0,5,307.6666666666667,361,271,291.0
2017-04-01 11:00:00,2,473,2017-04-01,11,5,0,5,476.6666666666667,511,446,473.0
2017-04-01 12:00:00,2,649,2017-04-01,12,5,0,5,706.0,754,649,715.0
2017-04-01 13:00:00,2,518,2017-04-01,13,5,0,5,501.6666666666667,543,444,518.0
2017-04-01 14:00:00,2,385,2017-04-01,14,5,0,5,378.0,385,368,381.0
2017-04-01 15:00:00,2,492,2017-04-01,15,5,0,5,379.3333333333333,492,314,332.0
2017-04-01 16:00:00,2,358,2017-04-01,16,5,0,5,352.6666666666667,367,333,358.0
2017-04-01 17:00:00,2,593,2017-04-01,17,5,0,5,566.6666666666666,593,527,580.0
2017-04-01 18:00:00,2,594,2017-04-01,18,5,0,5,601.6666666666666,617,594,594.0
2017-04-01 19:00:00,2,526,2017-04-01,19,5,0,5,504.6666666666667,526,471,517.0
2017-04-01 20:00:00,2,383,2017-04-01,20,5,0,5,406.0,479,356,383.0
2017-04-01 21:00:00,2,388,2017-04-01,21,5,0,5,403.0,482,339,388.0
2017-04-01 22:00:00,2,442,2017-04-01,22,5,0,5,464.6666666666667,509,442,443.0
2017-04-01 23:00:00,2,313,2017-04-01,23,5,0,5,341.0,379,313,331.0
2017-04-01 03:00:00,3,2,2017-04-01,3,5,0,5,13.666666666666666,20,2,19.0
2017-04-01 04:00:00,3,17,2017-04-01,4,5,0,5,14.333333333333334,17,12,14.0
