time_stamp,loc_id,phone_num,hour,week,holiday,week_num,data_mean_week_hour,data_max_week_hour,data_min_week_hour,data_median_week_hour,temperature,pressure,humidity,wind_speed,weather,wind_u,wind_v,SSD,AQI,rate,PM2.5,PM10,SO2,CO,NO2,O3_8h,loc_hour,loc_week,loc_rate,loc_weather,hour_rate,hour_weather,hour_week,week_rate,week_weather,rate_weather
2017-04-01 00:00:00,1,172,0,5,0,5,177.33333333333337,194,166,172.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,100,105,105,104,5,4,5,505,504,504
2017-04-01 00:00:00,2,284,0,5,0,5,387.0,545,284,332.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,200,205,205,204,5,4,5,505,504,504
2017-04-01 00:00:00,4,113,0,5,0,5,87.33333333333331,113,62,87.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,400,405,405,404,5,4,5,505,504,504
2017-04-01 00:00:00,5,131,0,5,0,5,152.0,182,131,143.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,500,505,505,504,5,4,5,505,504,504
2017-04-01 00:00:00,6,171,0,5,0,5,153.33333333333334,171,122,167.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,600,605,605,604,5,4,5,505,504,504
2017-04-01 00:00:00,7,94,0,5,0,5,87.0,94,83,84.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,700,705,705,704,5,4,5,505,504,504
2017-04-01 00:00:00,9,137,0,5,0,5,122.33333333333331,137,107,123.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,900,905,905,904,5,4,5,505,504,504
2017-04-01 00:00:00,11,291,0,5,0,5,310.3333333333333,392,248,291.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,1100,1105,1105,1104,5,4,5,505,504,504
2017-04-01 00:00:00,13,41,0,5,0,5,37.333333333333336,41,35,36.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,1300,1305,1305,1304,5,4,5,505,504,504
2017-04-01 00:00:00,14,13,0,5,0,5,8.333333333333334,13,5,7.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,1400,1405,1405,1404,5,4,5,505,504,504
2017-04-01 00:00:00,15,12,0,5,0,5,24.0,31,12,29.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,1500,1505,1505,1504,5,4,5,505,504,504
2017-04-01 00:00:00,16,6,0,5,0,5,7.666666666666668,9,6,8.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,1600,1605,1605,1604,5,4,5,505,504,504
2017-04-01 00:00:00,17,365,0,5,0,5,280.6666666666667,365,209,268.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,1700,1705,1705,1704,5,4,5,505,504,504
2017-04-01 00:00:00,18,388,0,5,0,5,412.66666666666674,432,388,418.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,1800,1805,1805,1804,5,4,5,505,504,504
2017-04-01 00:00:00,19,95,0,5,0,5,146.66666666666666,195,95,150.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,1900,1905,1905,1904,5,4,5,505,504,504
2017-04-01 00:00:00,20,26,0,5,0,5,22.33333333333333,26,19,22.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,2000,2005,2005,2004,5,4,5,505,504,504
2017-04-01 00:00:00,21,152,0,5,0,5,156.0,163,152,153.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,2100,2105,2105,2104,5,4,5,505,504,504
2017-04-01 00:00:00,22,2,0,5,0,5,5.0,8,2,5.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,2200,2205,2205,2204,5,4,5,505,504,504
2017-04-01 00:00:00,23,410,0,5,0,5,415.0,435,400,410.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,2300,2305,2305,2304,5,4,5,505,504,504
2017-04-01 00:00:00,24,3,0,5,0,5,10.333333333333334,25,3,3.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,2400,2405,2405,2404,5,4,5,505,504,504
2017-04-01 00:00:00,25,195,0,5,0,5,159.33333333333334,195,110,173.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,2500,2505,2505,2504,5,4,5,505,504,504
2017-04-01 00:00:00,26,21,0,5,0,5,23.0,25,21,23.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,2600,2605,2605,2604,5,4,5,505,504,504
2017-04-01 00:00:00,27,18,0,5,0,5,18.0,21,15,18.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,2700,2705,2705,2704,5,4,5,505,504,504
2017-04-01 00:00:00,28,198,0,5,0,5,163.0,198,132,159.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,2800,2805,2805,2804,5,4,5,505,504,504
2017-04-01 00:00:00,30,271,0,5,0,5,299.0,316,271,310.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,3000,3005,3005,3004,5,4,5,505,504,504
2017-04-01 00:00:00,31,165,0,5,0,5,116.0,165,87,96.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,3100,3105,3105,3104,5,4,5,505,504,504
2017-04-01 00:00:00,32,25,0,5,0,5,24.0,31,16,25.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,3200,3205,3205,3204,5,4,5,505,504,504
2017-04-01 00:00:00,33,17,0,5,0,5,17.666666666666668,19,17,17.0,12.0,1013.4,31,1.5,4,-1.35553830763726,-0.6422740042442265,50.4701713939394,69,5,31,78,7,0.6,55,86,3300,3305,3305,3304,5,4,5,505,504,504
2017-04-01 01:00:00,1,192,1,5,0,5,209.0,235,192,200.0,14.8,1013.4,20,1.6,4,1.3501663339719876,-0.858516668800696,53.98995157615894,69,5,31,78,7,0.6,55,86,101,105,105,104,105,104,105,505,504,504
2017-04-01 01:00:00,2,320,1,5,0,5,568.6666666666666,900,320,486.0,14.8,1013.4,20,1.6,4,1.3501663339719876,-0.858516668800696,53.98995157615894,69,5,31,78,7,0.6,55,86,201,205,205,204,105,104,105,505,504,504
2017-04-01 01:00:00,4,123,1,5,0,5,73.33333333333333,123,47,50.0,14.8,1013.4,20,1.6,4,1.3501663339719876,-0.858516668800696,53.98995157615894,69,5,31,78,7,0.6,55,86,401,405,405,404,105,104,105,505,504,504
2017-04-01 01:00:00,5,131,1,5,0,5,153.0,168,131,160.0,14.8,1013.4,20,1.6,4,1.3501663339719876,-0.858516668800696,53.98995157615894,69,5,31,78,7,0.6,55,86,501,505,505,504,105,104,105,505,504,504
2017-04-01 01:00:00,6,126,1,5,0,5,119.0,126,112,119.0,14.8,1013.4,20,1.6,4,1.3501663339719876,-0.858516668800696,53.98995157615894,69,5,31,78,7,0.6,55,86,601,605,605,604,105,104,105,505,504,504
